,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss
,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
42,0.10994584858417511,4455.056640625,0.0059540956281125546,1.0,0.09760300070047379,2.0,2934.8046875,0.8999999761581421,0.20000000298023224,-10.771652221679688,-1.1920928955078125e-07,0.019999999552965164,-0.13894902169704437,-0.12515997886657715,0.0002351470902794972
43,0.1081438660621643,4455.056640625,0.009993699379265308,,,,,,,,,,,,
44,0.11028743535280228,4653.10546875,0.003172817174345255,,,,,,,,,,,,
45,0.10978830605745316,4455.056640625,0.006206120830029249,,,,,,,,,,,,
46,0.10277775675058365,6808.828125,0.003172817174345255,,,,,,,,,,,,
47,0.10893968492746353,4455.056640625,0.008168316446244717,,,,,,,,,,,,
48,0.1090034693479538,4653.10546875,0.0059540956281125546,1.0,0.0989418551325798,2.0,4.265525817871094,0.8833333253860474,0.20000000298023224,-3.5275869369506836,0.0,0.019999999552965164,-0.09078197926282883,-0.10620453953742981,6.254977051867172e-05
49,0.1090034693479538,4653.10546875,0.0059540956281125546,,,,,,,,,,,,
50,0.1090034693479538,4653.10546875,0.0059540956281125546,,,,,,,,,,,,
51,0.1090034693479538,4653.10546875,0.0059540956281125546,,,,,,,,,,,,
52,0.1090034693479538,4653.10546875,0.0059540956281125546,,,,,,,,,,,,
53,0.1090034693479538,4653.10546875,0.0059540956281125546,,,,,,,,,,,,
54,0.10994584858417511,4455.056640625,0.0059540956281125546,1.0,0.10005976259708405,2.0,3.091740846633911,0.800000011920929,0.20000000298023224,-0.5400630831718445,1.0,0.019999999552965164,2.950119551314856e-06,0.0,2.266781848447863e-05
55,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
56,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
57,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
58,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
59,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
60,0.10994584858417511,4455.056640625,0.0059540956281125546,1.0,0.10104838013648987,2.0,5.2094459533691406e-05,0.0,0.20000000298023224,-0.03593183681368828,1.0,0.019999999552965164,2.5526314857415855e-06,0.0,7.106535576895112e-06
61,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
62,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
63,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
64,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
65,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
66,0.10994584858417511,4455.056640625,0.0059540956281125546,1.0,0.1018572598695755,2.0,2.384185791015625e-07,0.0,0.20000000298023224,-0.010599036701023579,1.0,0.019999999552965164,1.4245815691538155e-06,0.0,2.1960499907436315e-06
67,0.10994584858417511,4455.056640625,0.0059540956281125546,,,,,,,,,,,,
