,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss
,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
92,0.11288902163505554,4250.78662109375,0.0014086408773437142,,,,,,,,,,,,
93,0.09376521408557892,9247.6259765625,0.01139063946902752,,,,,,,,,,,,
94,0.08811306953430176,2082.62109375,0.005073807202279568,,,,,,,,,,,,
95,0.10054285824298859,2833.33935546875,0.01533123292028904,,,,,,,,,,,,
96,0.10600787401199341,5847.6181640625,0.0025589559227228165,,,,,,,,,,,,
97,0.10581877082586288,5895.31591796875,0.0025769576895982027,,,,,,,,,,,,
98,0.10899657011032104,3692.932373046875,0.016387939453125,,,,,,,,,,,,
99,0.10281987488269806,2960.87841796875,0.01568046770989895,,,,,,,,,,,,
100,0.09175574779510498,10688.921875,0.008132313378155231,1.0,-0.21969270706176758,1.0,0.21652303636074066,0.8999999761581421,0.20000000298023224,-17.183984756469727,-1.1920928955078125e-07,0.019999999552965164,-0.1521608978509903,-0.1417672336101532,0.011077044531702995
101,0.09440350532531738,2417.541015625,0.009244824759662151,,,,,,,,,,,,
102,0.11066851764917374,4408.39599609375,0.004789378959685564,,,,,,,,,,,,
103,0.09157408773899078,9609.5048828125,0.01593429408967495,,,,,,,,,,,,
104,0.10230860114097595,6877.263671875,0.003856885712593794,,,,,,,,,,,,
105,0.09075235575437546,9802.369140625,0.01734023354947567,,,,,,,,,,,,
106,0.09298525005578995,8941.7392578125,0.01590188965201378,,,,,,,,,,,,
107,0.08513011783361435,1929.1593017578125,0.007223222404718399,,,,,,,,,,,,
108,0.0919286236166954,9802.369140625,0.013729073107242584,,,,,,,,,,,,
109,0.09264533221721649,9874.9521484375,0.010913590900599957,,,,,,,,,,,,
110,0.09465013444423676,9247.6259765625,0.008720971643924713,,,,,,,,,,,,
111,0.09889872372150421,7362.53466796875,0.009070207364857197,,,,,,,,,,,,
112,0.07147802412509918,1269.6885986328125,0.015568857081234455,,,,,,,,,,,,
113,0.06638931483030319,992.8352661132812,0.009070207364857197,,,,,,,,,,,,
114,0.09295812994241714,9805.4794921875,0.010380738414824009,,,,,,,,,,,,
115,0.08955029398202896,2097.1376953125,0.0020207019988447428,,,,,,,,,,,,
116,0.09404343366622925,9802.369140625,0.006765976548194885,,,,,,,,,,,,
117,0.09203070402145386,10169.4326171875,0.010816381312906742,,,,,,,,,,,,
118,0.10625465959310532,4264.2666015625,0.016434744000434875,,,,,,,,,,,,
119,0.06968741863965988,1117.263671875,0.002605760470032692,,,,,,,,,,,,
120,0.09723267704248428,9223.7763671875,0.0012340233661234379,,,,,,,,,,,,
121,0.09162341058254242,9247.6259765625,0.018045904114842415,,,,,,,,,,,,
122,0.09906720370054245,8482.390625,0.0010342034511268139,,,,,,,,,,,,
123,0.09853602945804596,8147.470703125,0.00475157517939806,,,,,,,,,,,,
124,0.1072528138756752,3095.676025390625,0.005037803668528795,,,,,,,,,,,,
125,0.10462023317813873,2888.295166015625,0.0016822682227939367,,,,,,,,,,,,
126,0.0929577499628067,10222.3154296875,0.007433843333274126,,,,,,,,,,,,
127,0.0899415910243988,10683.7373046875,0.014220521785318851,,,,,,,,,,,,
128,0.09158726036548615,9805.4794921875,0.014823582023382187,,,,,,,,,,,,
129,0.09223777800798416,10345.70703125,0.008850584737956524,,,,,,,,,,,,
130,0.09245909005403519,10683.7373046875,0.0056264628656208515,,,,,,,,,,,,
131,0.08570411801338196,1929.1593017578125,0.0010342034511268139,,,,,,,,,,,,
132,0.08986212313175201,10639.150390625,0.014823582023382187,,,,,,,,,,,,
133,0.08722368627786636,2097.1376953125,0.018096309155225754,,,,,,,,,,,,
134,0.10634944587945938,5189.1845703125,0.0072376239113509655,,,,,,,,,,,,
135,0.09079660475254059,10683.7373046875,0.011266426183283329,,,,,,,,,,,,
136,0.09312251955270767,10222.3154296875,0.006908190902322531,,,,,,,,,,,,
137,0.09167346358299255,9812.73828125,0.014492349699139595,,,,,,,,,,,,
138,0.09659383445978165,9387.607421875,0.001977497711777687,,,,,,,,,,,,
139,0.11493509262800217,3553.9873046875,0.0046363635919988155,,,,,,,,,,,,
140,0.09866975247859955,8016.82080078125,0.0051098112016916275,,,,,,,,,,,,
141,0.09594163298606873,9805.4794921875,0.0010342034511268139,,,,,,,,,,,,
142,0.07785231620073318,1607.7191162109375,0.014823582023382187,,,,,,,,,,,,
143,0.09310690313577652,8941.7392578125,0.0155274523422122,,,,,,,,,,,,
144,0.10609573870897293,5397.60205078125,0.006132313050329685,,,,,,,,,,,,
145,0.0871526449918747,2097.1376953125,0.01734023354947567,,,,,,,,,,,,
