,ep_max_height,ep_spring_k,ep_zeta,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss
,value,value,value,value,value,value,value,value,value
42,0.10077430307865143,6754.857421875,0.00851502362638712,,,,0.000143436758662574,0.0010000000474974513,-0.1087753027677536
43,0.10077430307865143,6754.857421875,0.00851502362638712,,,,0.00012756817159242928,0.0010000000474974513,
44,0.10058104991912842,6877.46337890625,0.008300477638840675,1.0,0.10004302114248276,2.0,0.00013344429316930473,0.0010000000474974513,-0.10628410428762436
45,0.10058104991912842,6877.46337890625,0.008300477638840675,,,,0.00010192417539656162,0.0010000000474974513,
46,0.10028313100337982,7010.83154296875,0.008072870783507824,,,,9.595535084372386e-05,0.0010000000474974513,-0.10312437266111374
47,0.10028313100337982,7010.83154296875,0.008072870783507824,,,,5.6361397582804784e-05,0.0010000000474974513,
48,0.09990895539522171,7154.169921875,0.007829251699149609,1.0,0.10007543861865997,2.0,3.8933896576054394e-05,0.0010000000474974513,-0.10054092109203339
49,0.09990895539522171,7154.169921875,0.007829251699149609,,,,5.5646705732215196e-05,0.0010000000474974513,
50,0.0996454507112503,7307.24365234375,0.007571026217192411,,,,7.628437015227973e-05,0.0010000000474974513,-0.09939470887184143
51,0.0996454507112503,7307.24365234375,0.007571026217192411,,,,5.9567180869635195e-05,0.0010000000474974513,
52,0.09927962720394135,7469.66796875,0.0072990236803889275,1.0,0.10005248337984085,2.0,7.753868703730404e-05,0.0010000000474974513,-0.09971318393945694
53,0.09927962720394135,7469.66796875,0.0072990236803889275,,,,7.497900514863431e-05,0.0010000000474974513,
54,0.0989610031247139,7641.37109375,0.007014861796051264,,,,6.472949462477118e-05,0.0010000000474974513,-0.10133082419633865
55,0.0989610031247139,7641.37109375,0.007014861796051264,,,,4.8084548325277865e-05,0.0010000000474974513,
56,0.09863350540399551,7821.8525390625,0.006719960831105709,1.0,0.09998591244220734,2.0,4.489684943109751e-05,0.0010000000474974513,-0.1032639667391777
57,0.09863350540399551,7821.8525390625,0.006719960831105709,,,,4.020443157060072e-05,0.0010000000474974513,
58,0.09820561110973358,8009.66748046875,0.006416310090571642,,,,4.4890599383506924e-05,0.0010000000474974513,-0.10488924384117126
59,0.09820561110973358,8009.66748046875,0.006416310090571642,,,,3.702624962897971e-05,0.0010000000474974513,
60,0.0979061871767044,8202.80859375,0.00610773591324687,1.0,0.09988151490688324,2.0,3.766777808777988e-05,0.0010000000474974513,-0.10543901473283768
61,0.0979061871767044,8202.80859375,0.00610773591324687,,,,4.4104181142756715e-05,0.0010000000474974513,
62,0.09755657613277435,8397.09375,0.005801276303827763,,,,4.42758209828753e-05,0.0010000000474974513,-0.1048647090792656
63,0.09755657613277435,8397.09375,0.005801276303827763,,,,2.7774247428169474e-05,0.0010000000474974513,
64,0.09720287472009659,8585.7587890625,0.005506409332156181,1.0,0.09974714368581772,2.0,3.727703006006777e-05,0.0010000000474974513,-0.1032973974943161
65,0.09720287472009659,8585.7587890625,0.005506409332156181,,,,2.325547393411398e-05,0.0010000000474974513,
66,0.09691207110881805,8762.95703125,0.00523364869877696,,,,2.2573260139324702e-05,0.0010000000474974513,-0.10138746351003647
67,0.09691207110881805,8762.95703125,0.00523364869877696,,,,2.464453427819535e-05,0.0010000000474974513,
68,0.09665185213088989,8921.92578125,0.004996627103537321,1.0,0.09958892315626144,2.0,1.4671397366328165e-05,0.0010000000474974513,-0.09953336417675018
69,0.09665185213088989,8921.92578125,0.004996627103537321,,,,1.886478639789857e-05,0.0010000000474974513,
70,0.09641238301992416,9059.1220703125,0.004803705029189587,,,,1.6743062587920576e-05,0.0010000000474974513,-0.09797041863203049
71,0.09641238301992416,9059.1220703125,0.004803705029189587,,,,1.290389263886027e-05,0.0010000000474974513,
72,0.09618476778268814,9172.2255859375,0.004657289478927851,1.0,0.09941909462213516,2.0,2.223154660896398e-05,0.0010000000474974513,-0.09695043414831161
73,0.09618476778268814,9172.2255859375,0.004657289478927851,,,,1.612418236618396e-05,0.0010000000474974513,
74,0.09602545946836472,9259.423828125,0.004554390907287598,,,,2.7039288397645578e-05,0.0010000000474974513,-0.09672664850950241
75,0.09602545946836472,9259.423828125,0.004554390907287598,,,,9.498213330516592e-06,0.0010000000474974513,
76,0.09589660167694092,9321.5166015625,0.004494242370128632,1.0,0.09924466907978058,2.0,4.885850557911908e-06,0.0010000000474974513,-0.09693623334169388
77,0.09589660167694092,9321.5166015625,0.004494242370128632,,,,9.47126500250306e-06,0.0010000000474974513,
78,0.09581150114536285,9359.21875,0.004475305788218975,,,,8.294425242638681e-06,0.0010000000474974513,-0.09712100774049759
79,0.09581150114536285,9359.21875,0.004475305788218975,,,,6.3195011534844525e-06,0.0010000000474974513,
80,0.09576950967311859,9373.486328125,0.004496396519243717,1.0,0.09907513856887817,2.0,1.0497529729036614e-05,0.0010000000474974513,-0.0968717411160469
81,0.09576950967311859,9373.486328125,0.004496396519243717,,,,1.1043370250263251e-05,0.0010000000474974513,
82,0.09577031433582306,9364.6796875,0.004557439591735601,,,,8.905484719434753e-06,0.0010000000474974513,-0.09615517407655716
83,0.09577031433582306,9364.6796875,0.004557439591735601,,,,4.508903202804504e-06,0.0010000000474974513,
84,0.09581301361322403,9333.123046875,0.00465778075158596,1.0,0.09891775250434875,2.0,8.822565177979413e-06,0.0010000000474974513,-0.0952954962849617
